State Code,Facility Name,Number of Beds,Inpatient Revenue,Net Patient Revenue,Less Total Operating Expense,Inpatient PPS Amount,Allowable Bad Debts,Net Income from service to patients
NH,GREENBRIAR HEALTHCARE,290.0,2631058.0,2736656.0,2438116.0,583183.0,0.0,298540.0
PA,PARAMOUNT NURSING & REHAB SOUTH HILL,17.0,385115.0,265111.0,473381.0,117121.0,0.0,-208270.0
MO,TOWN & COUNTRY HEALTH & REHAB,282.0,1481959.0,1356995.0,1369656.0,447307.0,0.0,-12661.0
MT,HELENA NURSING AND REHAB CENTER  LLC,90.0,2535727.0,2484229.0,2297000.0,655919.0,0.0,187229.0
CT,MERIDIAN MANOR,94.0,672015.0,658667.0,869914.0,24074.0,0.0,-211247.0
OK,HIGHLAND PARK MANOR,114.0,1249049.0,1061519.0,947285.0,548515.0,14643.0,114234.0
OK,GARLAND ROAD NURS & REHAB CTR,118.0,1440783.0,1253449.0,1482741.0,458417.0,22543.0,-229292.0
TX,METHODIST TRANSITIONAL CARE CENTER-D,100.0,1221237.0,697286.0,1072304.0,494971.0,0.0,-375018.0
MT,ELKHORN HEALTHCARE AND REHABILITATIO,70.0,2749723.0,2463961.0,1647524.0,166936.0,0.0,816437.0
OK,NOBLE HEALTH CARE CENTER,110.0,1421846.0,1254555.0,1280577.0,397048.0,16192.0,-26022.0
OK,TUSCANY VILLAGE NURS CTR,137.0,2270774.0,1870234.0,1892383.0,712287.0,20522.0,-22149.0
TX,BLUEBONNET POINT WELLNESS,119.0,148696.0,143720.0,557573.0,14235.0,0.0,-413853.0
WA,BALLARD CENTER,142.0,4732567.0,3835696.0,3361519.0,1125540.0,22176.0,474177.0
TX,IRVING NURSING & REHABILITATION,88.0,484345.0,621830.0,544272.0,17437.0,0.0,77558.0
TX,FANNIN DBA KINGSLAND HILLS,122.0,1124516.0,1205629.0,1251057.0,261972.0,0.0,-45428.0
LA,MID CITY COMMUNITY NURSING & REHAB,184.0,2943371.0,2488967.0,2150070.0,485119.0,14784.0,338897.0
TX,SUN VALLEY REHAB & HEALTHCARE CTR,124.0,507626.0,226243.0,1156060.0,311520.0,0.0,-929817.0
IL,ELEVATE CARE NORTH BRANCH,212.0,3560621.0,3512507.0,3972849.0,896779.0,0.0,-460342.0
TX,COTTONWOOD NURSING & REHABILITATION,60.0,143416.0,183588.0,252508.0,5516.0,0.0,-68920.0
TX,NORTH POINTE NURSING & REHABILITATIO,126.0,411594.0,434401.0,437127.0,53731.0,0.0,-2726.0
WI,ASPEN HEALTH AND REHAB,86.0,1524418.0,1503158.0,1503786.0,532251.0,0.0,-628.0
TX,SAN SABA NURSING & REHABILITATION,72.0,208689.0,236446.0,234917.0,74242.0,0.0,1529.0
FL,LAKESIDE NEUROLOGIC,25.0,869949.0,446591.0,651967.0,239875.0,0.0,-205376.0
OH,HICKORY CREEK AT HICKSVILLE,61.0,577386.0,605861.0,1019112.0,125635.0,23500.0,-413251.0
TX,DECATUR NURSING & REHABILITATION  L.,60.0,115290.0,149724.0,241216.0,15362.0,0.0,-91492.0
TX,STARR COUNTY NURSING & TRANS CARE,120.0,312077.0,312077.0,1243596.0,137053.0,0.0,-931519.0
IL,THE CITADEL OF BOURBONNAIS,107.0,3010394.0,1572173.0,1408564.0,982175.0,25967.0,163609.0
IL,THE CITADEL OF GLENVIEW,135.0,1804944.0,1144746.0,1366841.0,401278.0,0.0,-222095.0
IL,AURORA SKILLED NURSING FACILITY LLC,87.0,1684239.0,882488.0,1124378.0,356653.0,0.0,-241890.0
TX,TRINITY NURSING & REHABILITATION OF,104.0,204028.0,224471.0,475724.0,21190.0,0.0,-251253.0
LA,MINDEN COMMUNITY CARE CENTER  LLC,145.0,1405582.0,1405582.0,1722892.0,462281.0,0.0,-317310.0
NH,BIRCH HEALTHCARE CENTER,79.0,720355.0,789009.0,862844.0,231639.0,0.0,-73835.0
TX,KEENELAND NURSING & REHABILITATION L,72.0,101164.0,121099.0,244527.0,20958.0,0.0,-123428.0
PA,WATERMARK AT BELLINGHAM PARK LANE,64.0,1502767.0,1258245.0,2262477.0,451816.0,0.0,-1004232.0
WI,MINOCQUA HEALTH & REHAB,72.0,1475674.0,1343759.0,1557963.0,348856.0,0.0,-214204.0
KY,PROVIDENCE POINT HEALTHCARE INC,108.0,3076584.0,2560910.0,2533546.0,1088246.0,16685.0,27364.0
OH,THE SARAH JANE LIVING CENTER  LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,DENISON NURSING & REHABILITATION  L.,71.0,130576.0,131025.0,399197.0,14400.0,0.0,-268172.0
TX,WILLIS NURSING AND REHAB,114.0,883481.0,688786.0,713629.0,32732.0,0.0,-24843.0
TX,BROWNWOOD NURSING AND REHABILITATION,128.0,277534.0,297289.0,386093.0,63489.0,0.0,-88804.0
MI,CARRIAGE HOUSE NURSING AND REHAB,120.0,2560392.0,1422086.0,1349042.0,743454.0,0.0,73044.0
NH,CEDAR HEALTHCARE CENTER,85.0,969618.0,1059718.0,1418897.0,301442.0,0.0,-359179.0
TX,POTEET NURSING AND REHABILITATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,OAK MANOR NURSING & REHABILITATION,116.0,177375.0,250685.0,380130.0,72213.0,0.0,-129445.0
TX,MANSFIELD NURSING & REHABILITATION L,127.0,314242.0,331200.0,687664.0,50413.0,0.0,-356464.0
TX,HERITAGE TRAILS NURSING & REHAB CTR,122.0,3555283.0,2295094.0,2223861.0,882813.0,0.0,71233.0
CO,BOULDER MANOR,165.0,13507628.0,4483922.0,7349675.0,131340.0,10525.0,-2865753.0
TX,GREENBRIER HEALTH CARE CENTER,114.0,682867.0,630818.0,704803.0,98708.0,0.0,-73985.0
MI,CAMBRIDGE EAST HEALTHCARE CENTER,160.0,12299911.0,3509271.0,4945987.0,648914.0,15238.0,-1436716.0
